"","population","family","body","sub","mid","ilab","slab","post"
"126","INLAND","543",165,77,21,20,16,6
"127","INLAND","543",165,79,21,20,14,6
"128","INLAND","543",167,73,21,20,16,6
"129","INLAND","543",167,77,21,20,16,6
"130","INLAND","543",168,78,21,20,16,6
"131","INLAND","543",170,78,21,20,16,6
"132","INLAND","543",170,79,21,21,16,6
"133","INLAND","543",172,78,21,20,16,6
"134","INLAND","545",165,NA,21,20,16,7
"135","INLAND","545",166,78,21,20,16,6
"136","INLAND","545",166,79,21,20,16,7
"137","INLAND","545",167,81,21,20,16,6
"138","INLAND","545",169,85,21,20,16,6
"139","INLAND","549",168,NA,19,21,16,5
"140","INLAND","549",165,76,21,20,16,6
"141","INLAND","549",165,82,21,20,16,6
"142","INLAND","549",168,76,21,20,16,6
"143","INLAND","549",168,79,19,20,16,6
"144","INLAND","549",171,76,21,20,16,6
"145","INLAND","549",172,79,21,20,16,6
"146","INLAND","550",167,74,19,20,16,8
"147","INLAND","550",166,80,19,20,16,5
"148","INLAND","550",167,76,21,20,16,6
"149","INLAND","554",167,74,21,20,16,7
"150","INLAND","554",172,81,19,20,16,7
"151","INLAND","556",165,81,19,20,16,6
"152","INLAND","556",166,83,21,20,16,5
"153","INLAND","556",166,88,21,20,16,6
"154","INLAND","556",167,NA,21,20,16,6
"155","INLAND","556",167,80,21,20,16,6
"156","INLAND","556",168,83,21,20,16,6
"157","INLAND","556",169,88,21,21,16,6
"158","INLAND","556",171,86,21,20,16,7
"159","INLAND","591",166,79,19,20,17,8
"160","INLAND","591",166,72,19,20,16,6
"161","INLAND","676",161,87,21,20,16,6
"162","INLAND","676",154,85,21,20,16,7
"163","INLAND","676",155,81,21,20,16,7
"164","INLAND","676",160,83,21,20,16,7
"165","INLAND","676",162,84,21,20,16,6
"166","INLAND","686",163,78,21,20,16,6
"167","INLAND","686",160,81,21,20,18,6
"168","INLAND","686",161,82,21,20,16,6
"169","INLAND","686",164,81,21,20,17,6
"170","INLAND","686",166,77,19,18,15,6
